,Mean,Median,Mode,Range,Variance,1st Quartile,3rd Quartile,Standard Deviation
0-24,2.4170096021947876,0.0,0.0,121.0,92.33913454174593,0.0,0.0,9.609325394727037
25-34,14.947784810126583,0.0,0.0,528.0,1658.3596153460983,0.0,15.0,40.72296177030962
35-44,41.45203488372093,14.0,0.0,1419.0,10856.544210975526,0.0,36.25,104.194741762603
45-54,99.06164383561644,29.0,0.0,3676.0,63859.85693063113,14.0,83.0,252.70507895693575
55-64,230.94141414141413,72.0,0.0,8386.0,321915.39050709107,30.25,186.0,567.3758811467853
65-74,382.3621621621622,125.0,20.0,12214.0,777246.7499196493,46.25,320.0,881.6159877858667
75-84,468.2774363476734,168.0,22.0,13746.0,1045795.2908956228,60.0,412.5,1022.6413305238659
85+,502.7860340196956,176.0,14.0,14880.0,1175813.2210045932,65.0,455.0,1084.349215430432
Not Stated,nan,nan,nan,nan,nan,nan,nan,nan
All Ages,1565.8254364089776,523.0,135.0,54969.0,13558646.689394554,175.5,1243.0,3682.2067689626765
