Median,Mean,Range,Variance,1st Quartile,3rd Quartile,Standard Deviation
All Ages,6278.0,9606.150943396226,55518.0,121557823.59985758,2065.0,11495.0,11025.32646228027
Under 1 year,0.0,0.0,nan,0.0,0.0,0.0,0.0
0-17 years,0.0,6.117647058823529,nan,98.45674740484431,0.0,11.0,9.922537347112598
1-4 years,0.0,0.0,nan,0.0,0.0,0.0,0.0
5-14 years,0.0,1.0416666666666667,nan,12.456597222222227,0.0,0.0,3.5293904887702956
15-24 years,15.0,21.366666666666667,nan,631.2988888888889,10.0,22.0,25.125661959217886
18-29 years,29.0,47.86486486486486,nan,3461.1979547114684,17.0,49.0,58.83194671869586
25-34 years,35.0,76.54761904761905,nan,11693.247732426305,21.25,70.0,108.13532139142282
30-39 years,58.0,113.91489361702128,nan,29818.035310095056,32.5,106.5,172.67899498808492
35-44 years,100.0,178.375,nan,74657.77604166667,48.5,166.0,273.2357517633201
40-49 years,160.0,289.74,nan,204480.47239999997,59.25,284.75,452.19517069513245
45-54 years,256.0,459.15384615384613,nan,493426.01479289937,95.75,495.0,702.4428907697047
50-64 years,757.0,1426.3962264150944,10780.0,4093814.654325382,270.0,1673.0,2023.3177343969933
55-64 years,626.5,1171.0384615384614,nan,2598375.921597633,231.5,1344.75,1611.9478656574577
65-74 years,1270.0,2094.0188679245284,12392.0,6371149.678889284,439.0,2474.0,2524.1136422295417
75-84 years,1850.0,2677.566037735849,13849.0,8522245.981488073,589.0,3442.0,2919.2886088031914
85 years and over,2044.0,2994.2075471698113,14937.0,9934692.805980776,730.0,3541.0,3151.9347718474087
