,Mean,Median,Mode,Range,Variance,1st Quartile,3rd Quartile,Standard Deviation
All Ages,173.96153846153845,145.5,37.0,nan,37358.26775147929,53.75,210.0,193.28286978281156
Under 1 year,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0-17 years,3.8181818181818183,0.0,0.0,nan,43.785123966942145,0.0,5.5,6.617032867301034
1-4 years,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
5-14 years,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
15-24 years,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
18-29 years,3.25,0.0,0.0,nan,35.8125,0.0,2.5,5.984354601792912
25-34 years,7.615384615384615,0.0,0.0,nan,115.15976331360949,0.0,16.0,10.731251712340434
30-39 years,13.0,10.5,0.0,nan,121.33333333333333,7.5,18.75,11.015141094572204
35-44 years,11.294117647058824,11.0,0.0,nan,181.03114186851212,0.0,15.0,13.454781375723357
40-49 years,17.63157894736842,12.0,0.0,nan,392.23268698060934,0.0,20.0,19.804865235103453
45-54 years,22.06451612903226,16.0,0.0,nan,567.3506763787722,11.5,22.5,23.81912417320948
50-64 years,52.275,38.0,19.0,nan,2895.049375,22.0,50.5,53.80566303838287
55-64 years,41.333333333333336,31.0,14.0,nan,1739.0940170940173,18.0,41.0,41.702446176381756
65-74 years,45.53658536585366,33.0,11.0,nan,1959.4193932183218,21.0,54.0,44.265329471476
75-84 years,45.285714285714285,33.0,13.0,nan,1815.013605442177,20.5,55.0,42.60297648571256
85 years and over,43.951219512195124,34.0,15.0,nan,1428.5342058298631,19.0,52.0,37.79595488712864
