Median,Mean,Range,Variance,1st Quartile,3rd Quartile,Standard Deviation
All Ages,9518.0,13426.0,76319.0,222099332.49056605,3291.0,16866.0,14902.997433085937
Under 1 year,0.0,8.384615384615385,nan,94.3905325443787,0.0,16.0,9.715479017751965
0-17 years,21.0,28.06451612903226,nan,499.22164412070765,15.0,31.0,22.343268429679387
1-4 years,0.0,6.090909090909091,nan,102.62809917355375,0.0,9.0,10.13055275755246
5-14 years,10.0,11.117647058823529,nan,130.1038062283737,0.0,12.0,11.406305546861951
15-24 years,24.0,35.972972972972975,nan,1380.8371073776482,16.0,43.0,37.15961662043418
18-29 years,45.0,71.70454545454545,nan,7572.3445247933905,26.5,80.25,87.01921928397996
25-34 years,66.0,109.3125,nan,21217.798177083332,33.75,123.25,145.66330415407765
30-39 years,90.0,159.7058823529412,nan,50236.56055363322,44.0,175.5,224.13513904257232
35-44 years,154.5,241.53846153846155,nan,122167.78698224852,53.25,271.25,349.5250877723208
40-49 years,240.5,390.78846153846155,nan,323899.5514053254,79.75,429.0,569.1217368940721
45-54 years,385.0,627.566037735849,4784.0,787005.2267710932,152.0,710.0,887.1331505310199
50-64 years,1199.0,2025.5283018867924,13967.0,6895944.43787825,499.0,2374.0,2626.01303078988
55-64 years,989.0,1635.8301886792453,11058.0,4369819.348522606,390.0,1913.0,2090.4112869295855
65-74 years,1838.0,2918.9056603773583,16619.0,11212672.349590601,739.0,3376.0,3348.5328652397307
75-84 years,2617.0,3712.490566037736,19247.0,15675356.023495909,894.0,4796.0,3959.2115406348153
85 years and over,2844.0,4152.584905660377,21758.0,18991751.374866497,1128.0,4730.0,4357.952658630713
